Pais1,Pais2,Distancia
Alemanha,Luxemburgo,601.9609439571466
Luxemburgo,Alemanha,601.9609439571466
Alemanha,Macedônia do Norte,1315.3826677878822
Macedônia do Norte,Alemanha,1315.3826677878822
Alemanha,Moldávia,1264.4378203573672
Moldávia,Alemanha,1264.4378203573672
Alemanha,Montenegro,1204.120672821381
Montenegro,Alemanha,1204.120672821381
Alemanha,Noruega,838.1869086769334
Noruega,Alemanha,838.1869086769334
Alemanha,Países Baixos,576.081696949704
Países Baixos,Alemanha,576.081696949704
Alemanha,Polônia,517.1773161849419
Polônia,Alemanha,517.1773161849419
Alemanha,Portugal,2312.1264762246547
Portugal,Alemanha,2312.1264762246547
Alemanha,Inglaterra,931.556164946275
Inglaterra,Alemanha,931.556164946275
Alemanha,Romênia,1294.994188497455
Romênia,Alemanha,1294.994188497455
Alemanha,Rússia,1608.834070258558
Rússia,Alemanha,1608.834070258558
Alemanha,San Marino,956.3446089039433
San Marino,Alemanha,956.3446089039433
Alemanha,Sérvia,1000.4313233428016
Sérvia,Alemanha,1000.4313233428016
Alemanha,Suécia,810.5105927885327
Suécia,Alemanha,810.5105927885327
Alemanha,Suíça,752.5686807207574
Suíça,Alemanha,752.5686807207574
Alemanha,República Tcheca,281.1304256331059
República Tcheca,Alemanha,281.1304256331059
Alemanha,Ucrânia,1204.5203689663647
Ucrânia,Alemanha,1204.5203689663647
Alemanha,Vaticano,1182.7243392643716
Vaticano,Alemanha,1182.7243392643716
Andorra,Armênia,3559.663832028332
Armênia,Andorra,3559.663832028332
Andorra,Áustria,1319.0237204712264
Áustria,Andorra,1319.0237204712264
Andorra,Azerbaijão,3980.574435411336
Azerbaijão,Andorra,3980.574435411336
Andorra,Bélgica,952.2175983420502
Bélgica,Andorra,952.2175983420502
Andorra,Bielorrússia,2287.9167774260104
Bielorrússia,Andorra,2287.9167774260104
Andorra,Bósnia-Herzegovina,1375.3517588445195
Bósnia-Herzegovina,Andorra,1375.3517588445195
Andorra,Bulgária,1779.438851610567
Bulgária,Andorra,1779.438851610567
Andorra,Cazaquistão,5198.671937966266
Cazaquistão,Andorra,5198.671937966266
Andorra,Croácia,1208.7289788430905
Croácia,Andorra,1208.7289788430905
Andorra,Dinamarca,1666.1621222435056
Dinamarca,Andorra,1666.1621222435056
Andorra,Eslováquia,1367.0064566962747
Eslováquia,Andorra,1367.0064566962747
Andorra,Eslovênia,1104.8341541345208
Eslovênia,Andorra,1104.8341541345208
Andorra,Espanha,493.39541473905945
Espanha,Andorra,493.39541473905945
Andorra,Estônia,3501.560589223066
Estônia,Andorra,3501.560589223066
Andorra,Finlândia,2522.231415759108
Finlândia,Andorra,2522.231415759108
Andorra,França,709.1462289318446
França,Andorra,709.1462289318446
Andorra,Geórgia,3532.5414840911967
Geórgia,Andorra,3532.5414840911967
Andorra,Grécia,1944.330408538457
Grécia,Andorra,1944.330408538457
Andorra,Hungria,1480.8733361425595
Hungria,Andorra,1480.8733361425595
Andorra,Itália,904.7304127472961
Itália,Andorra,904.7304127472961
Andorra,Kosovo,1604.701673969201
Kosovo,Andorra,1604.701673969201
Andorra,Letônia,2264.364662357652
Letônia,Andorra,2264.364662357652
Andorra,Lituânia,2192.354305193817
Lituânia,Andorra,2192.354305193817
Andorra,Liechtenstein,813.9002753864601
Liechtenstein,Andorra,813.9002753864601
Andorra,Luxemburgo,866.0416639260823
Luxemburgo,Andorra,866.0416639260823
Andorra,Macedônia do Norte,1635.3893520479762
Macedônia do Norte,Andorra,1635.3893520479762
Andorra,Moldávia,2204.050773156602
Moldávia,Andorra,2204.050773156602
Andorra,Montenegro,1452.2478458645214
Montenegro,Andorra,1452.2478458645214
Andorra,Noruega,2035.0682833455364
Noruega,Andorra,2035.0682833455364
Andorra,Países Baixos,1125.315458342849
Países Baixos,Andorra,1125.315458342849
Andorra,Polônia,1813.4918265969754
Polônia,Andorra,1813.4918265969754
Andorra,Portugal,992.4364812442104
Portugal,Andorra,992.4364812442104
Andorra,Inglaterra,1008.5670759360617
Inglaterra,Andorra,1008.5670759360617
Andorra,Romênia,1987.626100270224
Romênia,Andorra,1987.626100270224
Andorra,Rússia,2963.5713143536664
Rússia,Andorra,2963.5713143536664
Andorra,San Marino,899.6553088757274
San Marino,Andorra,899.6553088757274
Andorra,Sérvia,1541.3480017427619
Sérvia,Andorra,1541.3480017427619
Andorra,Suécia,2187.5187051997464
Suécia,Andorra,2187.5187051997464
Andorra,Suíça,680.1014810633378
Suíça,Andorra,680.1014810633378
Andorra,República Tcheca,1298.0491773345304
República Tcheca,Andorra,1298.0491773345304
Andorra,Ucrânia,2371.138000667443
Ucrânia,Andorra,2371.138000667443
Andorra,Vaticano,902.2731369095803
Vaticano,Andorra,902.2731369095803
Armênia,Áustria,2397.5408634506903
Áustria,Armênia,2397.5408634506903
Armênia,Azerbaijão,454.4788408717911
Azerbaijão,Armênia,454.4788408717911
Armênia,Bélgica,3297.2571004767096
Bélgica,Armênia,3297.2571004767096
Armênia,Bielorrússia,1983.4900600215867
Bielorrússia,Armênia,1983.4900600215867
Armênia,Bósnia-Herzegovina,2184.9008601370156
Bósnia-Herzegovina,Armênia,2184.9008601370156
Armênia,Bulgária,1783.6158795120284
Bulgária,Armênia,1783.6158795120284
Armênia,Cazaquistão,2401.0585956832165
Cazaquistão,Armênia,2401.0585956832165
Armênia,Croácia,2389.109247126724
Croácia,Armênia,2389.109247126724
Armênia,Dinamarca,2896.232282637314
Dinamarca,Armênia,2896.232282637314
Armênia,Eslováquia,2342.7267655585647
Eslováquia,Armênia,2342.7267655585647
Armênia,Eslovênia,2505.054076722432
Eslovênia,Armênia,2505.054076722432
Armênia,Espanha,4036.692410045361
Espanha,Armênia,4036.692410045361
Armênia,Estônia,58.21832936685419
Estônia,Armênia,58.21832936685419
Armênia,Finlândia,2600.7668436976737
Finlândia,Armênia,2600.7668436976737
Armênia,França,3430.42424192398
França,Armênia,3430.42424192398
Armênia,Geórgia,169.24328687588348
Geórgia,Armênia,169.24328687588348
Armênia,Grécia,1806.6070943117554
Grécia,Armênia,1806.6070943117554
Armênia,Hungria,2186.4089682709473
Hungria,Armênia,2186.4089682709473
Armênia,Itália,2677.591810345051
Itália,Armênia,2677.591810345051
Armênia,Kosovo,1959.7902909142642
Kosovo,Armênia,1959.7902909142642
Armênia,Letônia,2375.7287913333957
Letônia,Armênia,2375.7287913333957
Armênia,Lituânia,2151.953981357322
Lituânia,Armênia,2151.953981357322
Armênia,Liechtenstein,2892.4250889319633
Liechtenstein,Armênia,2892.4250889319633
Armênia,Luxemburgo,3159.671256405378
Luxemburgo,Armênia,3159.671256405378
Armênia,Macedônia do Norte,1939.4767133132084
Macedônia do Norte,Armênia,1939.4767133132084
Armênia,Moldávia,1467.1076667670789
Moldávia,Armênia,1467.1076667670789
Armênia,Montenegro,2116.292796637573
Montenegro,Armênia,2116.292796637573
Armênia,Noruega,3196.8866930747145
Noruega,Armênia,3196.8866930747145
Armênia,Países Baixos,3279.869836952676
Países Baixos,Armênia,3279.869836952676
Armênia,Polônia,2233.521573738061
Polônia,Armênia,2233.521573738061
Armênia,Portugal,4537.804544149964
Portugal,Armênia,4537.804544149964
Armênia,Inglaterra,3614.109036341079
Inglaterra,Armênia,3614.109036341079
Armênia,Romênia,1581.8538962152682
Romênia,Armênia,1581.8538962152682
Armênia,Rússia,1803.540173977172
Rússia,Armênia,1803.540173977172
Armênia,San Marino,2661.910414561805
San Marino,Armênia,2661.910414561805
Armênia,Sérvia,2029.6714798169783
Sérvia,Armênia,2029.6714798169783
Armênia,Suécia,2815.548181783545
Suécia,Armênia,2815.548181783545
Armênia,Suíça,3048.882409434034
Suíça,Armênia,3048.882409434034
Armênia,República Tcheca,2579.8449700966116
República Tcheca,Armênia,2579.8449700966116
Armênia,Ucrânia,1575.7363177729533
Ucrânia,Armênia,1575.7363177729533
Armênia,Vaticano,2679.8791218885635
Vaticano,Armênia,2679.8791218885635
Áustria,Azerbaijão,2777.3021355459887
Azerbaijão,Áustria,2777.3021355459887
Áustria,Bélgica,914.194102406239
Bélgica,Áustria,914.194102406239
Áustria,Bielorrússia,1004.063886434792
Bielorrússia,Áustria,1004.063886434792
Áustria,Bósnia-Herzegovina,508.87188192527645
Bósnia-Herzegovina,Áustria,508.87188192527645
Áustria,Bulgária,817.4714185828401
Bulgária,Áustria,817.4714185828401
Áustria,Cazaquistão,3880.922299159026
Cazaquistão,Áustria,3880.922299159026
Áustria,Croácia,267.72769534754406
Croácia,Áustria,267.72769534754406
Áustria,Dinamarca,870.0272393069241
Dinamarca,Áustria,870.0272393069241
Áustria,Eslováquia,55.00299929840727
Eslováquia,Áustria,55.00299929840727
Áustria,Eslovênia,277.70127485665006
Eslovênia,Áustria,277.70127485665006
Áustria,Espanha,1809.3489238238265
Espanha,Áustria,1809.3489238238265
Áustria,Estônia,2340.0761079905847
Estônia,Áustria,2340.0761079905847
Áustria,Finlândia,1439.371098737629
Finlândia,Áustria,1439.371098737629
Áustria,França,1033.3703147025951
França,Áustria,1033.3703147025951
Áustria,Geórgia,2336.0158103932868
Geórgia,Áustria,2336.0158103932868
Áustria,Grécia,1282.809867085043
Grécia,Áustria,1282.809867085043
Áustria,Hungria,214.2137812657095
Hungria,Áustria,214.2137812657095
Áustria,Itália,765.1467925968801
Itália,Áustria,765.1467925968801
Áustria,Kosovo,720.8543322335227
Kosovo,Áustria,720.8543322335227
Áustria,Letônia,1103.7237026704377
Letônia,Áustria,1103.7237026704377
Áustria,Lituânia,947.290640208818
Lituânia,Áustria,947.290640208818
Áustria,Liechtenstein,526.2388324239804
Liechtenstein,Áustria,526.2388324239804
Áustria,Luxemburgo,763.7744357259585
Luxemburgo,Áustria,763.7744357259585
Áustria,Macedônia do Norte,795.9196447148365
Macedônia do Norte,Áustria,795.9196447148365
Áustria,Moldávia,944.8488628446414
Moldávia,Áustria,944.8488628446414
Áustria,Montenegro,680.8411058557335
Montenegro,Áustria,680.8411058557335
Áustria,Noruega,1351.1078871232232
Noruega,Áustria,1351.1078871232232
Áustria,Países Baixos,935.2963443305603
Países Baixos,Áustria,935.2963443305603
Áustria,Polônia,555.6325066526031
Polônia,Áustria,555.6325066526031
Áustria,Portugal,2298.2873235831576
Portugal,Áustria,2298.2873235831576
Áustria,Inglaterra,1235.2261492297703
Inglaterra,Áustria,1235.2261492297703
Áustria,Romênia,856.5826084869375
Romênia,Áustria,856.5826084869375
Áustria,Rússia,1669.8551890605654
Rússia,Áustria,1669.8551890605654
Áustria,San Marino,562.0669009583729
San Marino,Áustria,562.0669009583729
Áustria,Sérvia,490.2771063322935
Sérvia,Áustria,490.2771063322935
Áustria,Suécia,1241.5435733522067
Suécia,Áustria,1241.5435733522067
Áustria,Suíça,683.4689630292423
Suíça,Áustria,683.4689630292423
Áustria,República Tcheca,250.78252815433598
República Tcheca,Áustria,250.78252815433598
Áustria,Ucrânia,1053.7280983934927
Ucrânia,Áustria,1053.7280983934927
Áustria,Vaticano,765.4106166062015
Vaticano,Áustria,765.4106166062015
Azerbaijão,Bélgica,3658.53430807328
Bélgica,Azerbaijão,3658.53430807328
Azerbaijão,Bielorrússia,2239.947025787426
Bielorrússia,Azerbaijão,2239.947025787426
Azerbaijão,Bósnia-Herzegovina,2605.8454665277313
Bósnia-Herzegovina,Azerbaijão,2605.8454665277313
Azerbaijão,Bulgária,2214.2499811570888
Bulgária,Azerbaijão,2214.2499811570888
Azerbaijão,Cazaquistão,2043.031382441774
Cazaquistão,Azerbaijão,2043.031382441774
Azerbaijão,Croácia,2793.282108962175
Croácia,Azerbaijão,2793.282108962175
Azerbaijão,Dinamarca,3194.529696925817
Dinamarca,Azerbaijão,3194.529696925817
Azerbaijão,Eslováquia,2722.3077112999867
Eslováquia,Azerbaijão,2722.3077112999867
Azerbaijão,Eslovênia,2907.3996683813475
Eslovênia,Azerbaijão,2907.3996683813475
Azerbaijão,Espanha,4462.694732798076
Espanha,Azerbaijão,4462.694732798076
Azerbaijão,Estônia,507.07213755093164
Estônia,Azerbaijão,507.07213755093164
Azerbaijão,Finlândia,2787.13438471397
Finlândia,Azerbaijão,2787.13438471397
Azerbaijão,França,3809.134891766324
França,Azerbaijão,3809.134891766324
Azerbaijão,Geórgia,448.05771916553647
Geórgia,Azerbaijão,448.05771916553647
Azerbaijão,Grécia,2260.3030437103344
Grécia,Azerbaijão,2260.3030437103344
Azerbaijão,Hungria,2570.955342504444
Hungria,Azerbaijão,2570.955342504444
Azerbaijão,Itália,3109.5749214017274
Itália,Azerbaijão,3109.5749214017274
Azerbaijão,Kosovo,2390.4675776736417
Kosovo,Azerbaijão,2390.4675776736417
Azerbaijão,Letônia,2609.618238616333
Letônia,Azerbaijão,2609.618238616333
Azerbaijão,Lituânia,2411.7274863660036
Lituânia,Azerbaijão,2411.7274863660036
Azerbaijão,Liechtenstein,3285.923833187067
Liechtenstein,Azerbaijão,3285.923833187067
Azerbaijão,Luxemburgo,3531.8306030089825
Luxemburgo,Azerbaijão,3531.8306030089825
Azerbaijão,Macedônia do Norte,2375.020723003722
Macedônia do Norte,Azerbaijão,2375.020723003722
Azerbaijão,Moldávia,1833.4757661012068
Moldávia,Azerbaijão,1833.4757661012068
Azerbaijão,Montenegro,2548.1769152969114
Montenegro,Azerbaijão,2548.1769152969114
Azerbaijão,Noruega,3448.2775278532363
Noruega,Azerbaijão,3448.2775278532363
Azerbaijão,Países Baixos,3626.3148917773133
Países Baixos,Azerbaijão,3626.3148917773133
Azerbaijão,Polônia,2551.171466884553
Polônia,Azerbaijão,2551.171466884553
Azerbaijão,Portugal,4964.858411377306
Portugal,Azerbaijão,4964.858411377306
Azerbaijão,Inglaterra,3970.132594332094
Inglaterra,Azerbaijão,3970.132594332094
Azerbaijão,Romênia,1993.6785952520534
Romênia,Azerbaijão,1993.6785952520534
Azerbaijão,Rússia,1927.390358555595
Rússia,Azerbaijão,1927.390358555595
Azerbaijão,San Marino,3080.961583856081
San Marino,Azerbaijão,3080.961583856081
Azerbaijão,Sérvia,2441.6841082806286
Sérvia,Azerbaijão,2441.6841082806286
Azerbaijão,Suécia,3048.6961407001068
Suécia,Azerbaijão,3048.6961407001068
Azerbaijão,Suíça,3443.8717734411657
Suíça,Azerbaijão,3443.8717734411657
Azerbaijão,República Tcheca,2941.210480653789
República Tcheca,Azerbaijão,2941.210480653789
Azerbaijão,Ucrânia,1868.1486614534713
Ucrânia,Azerbaijão,1868.1486614534713
Azerbaijão,Vaticano,3111.8104090680954
Vaticano,Azerbaijão,3111.8104090680954
Bélgica,Bielorrússia,1603.4817735604781
Bielorrússia,Bélgica,1603.4817735604781
Bélgica,Bósnia-Herzegovina,1310.054476078686
Bósnia-Herzegovina,Bélgica,1310.054476078686
Bélgica,Bulgária,1697.5369691021629
Bulgária,Bélgica,1697.5369691021629
Bélgica,Cazaquistão,4523.866772899579
Cazaquistão,Bélgica,4523.866772899579
Bélgica,Croácia,1023.7021541226271
Croácia,Bélgica,1023.7021541226271
Bélgica,Dinamarca,764.8976671654381
Dinamarca,Bélgica,764.8976671654381
Bélgica,Eslováquia,967.0360609880632
Eslováquia,Bélgica,967.0360609880632
Bélgica,Eslovênia,917.3648491911331
Eslovênia,Bélgica,917.3648491911331
Bélgica,Espanha,1316.539230717764
Espanha,Bélgica,1316.539230717764
Bélgica,Estônia,3240.448727905925
Estônia,Bélgica,3240.448727905925
Bélgica,Finlândia,1647.5718398942845
Finlândia,Bélgica,1647.5718398942845
Bélgica,França,263.89252275811975
França,Bélgica,263.89252275811975
Bélgica,Geórgia,3224.8749759375796
Geórgia,Bélgica,3224.8749759375796
Bélgica,Grécia,2088.8259424327275
Grécia,Bélgica,2088.8259424327275
Bélgica,Hungria,1128.2320871073148
Hungria,Bélgica,1128.2320871073148
Bélgica,Itália,1172.8021778278573
Itália,Bélgica,1172.8021778278573
Bélgica,Kosovo,1565.0621033301313
Kosovo,Bélgica,1565.0621033301313
Bélgica,Letônia,1454.3381177416793
Letônia,Bélgica,1454.3381177416793
Bélgica,Lituânia,1464.6294822252112
Lituânia,Bélgica,1464.6294822252112
Bélgica,Liechtenstein,558.1332986523973
Liechtenstein,Bélgica,558.1332986523973
Bélgica,Luxemburgo,186.61277432915432
Luxemburgo,Bélgica,186.61277432915432
Bélgica,Macedônia do Norte,1630.509317623114
Macedônia do Norte,Bélgica,1630.509317623114
Bélgica,Moldávia,1831.247491082618
Moldávia,Bélgica,1831.247491082618
Bélgica,Montenegro,1468.4624951754968
Montenegro,Bélgica,1468.4624951754968
Bélgica,Noruega,1084.8469629076772
Noruega,Bélgica,1084.8469629076772
Bélgica,Países Baixos,173.16960496638586
Países Baixos,Bélgica,173.16960496638586
Bélgica,Polônia,1159.4643852479871
Polônia,Bélgica,1159.4643852479871
Bélgica,Portugal,1712.6163991622732
Portugal,Bélgica,1712.6163991622732
Bélgica,Inglaterra,321.0604402156645
Inglaterra,Bélgica,321.0604402156645
Bélgica,Romênia,1770.3320636798273
Romênia,Bélgica,1770.3320636798273
Bélgica,Rússia,2252.780622071064
Rússia,Bélgica,2252.780622071064
Bélgica,San Marino,979.2789020449148
San Marino,Bélgica,979.2789020449148
Bélgica,Sérvia,1372.6030333340248
Sérvia,Bélgica,1372.6030333340248
Bélgica,Suécia,1280.0138195517006
Suécia,Bélgica,1280.0138195517006
Bélgica,Suíça,488.83540378821067
Suíça,Bélgica,488.83540378821067
Bélgica,República Tcheca,718.140791710987
República Tcheca,Bélgica,718.140791710987
Bélgica,Ucrânia,1835.790808592672
Ucrânia,Bélgica,1835.790808592672
Bélgica,Vaticano,1171.0377852352958
Vaticano,Bélgica,1171.0377852352958
Bielorrússia,Bósnia-Herzegovina,1299.4392924013832
Bósnia-Herzegovina,Bielorrússia,1299.4392924013832
Bielorrússia,Bulgária,1283.935837536431
Bulgária,Bielorrússia,1283.935837536431
Bielorrússia,Cazaquistão,2934.904318141836
Cazaquistão,Bielorrússia,2934.904318141836
Bielorrússia,Croácia,1220.554396815542
Croácia,Bielorrússia,1220.554396815542
Bielorrússia,Dinamarca,979.1292593045505
Dinamarca,Bielorrússia,979.1292593045505
Bielorrússia,Eslováquia,969.5263788364564
Eslováquia,Bielorrússia,969.5263788364564
Bielorrússia,Eslovênia,1273.7882186910383
Eslovênia,Bielorrússia,1273.7882186910383
Bielorrússia,Espanha,2764.839969999407
Espanha,Bielorrússia,2764.839969999407
Bielorrússia,Estônia,1935.3737626143106
Estônia,Bielorrússia,1935.3737626143106
Bielorrússia,Finlândia,714.7685297478434
Finlândia,Bielorrússia,714.7685297478434
Bielorrússia,França,1825.860533894238
França,Bielorrússia,1825.860533894238
Bielorrússia,Geórgia,1861.4683669600079
Geórgia,Bielorrússia,1861.4683669600079
Bielorrússia,Grécia,1793.8211073393434
Grécia,Bielorrússia,1793.8211073393434
Bielorrússia,Hungria,929.7235610084572
Hungria,Bielorrússia,929.7235610084572
Bielorrússia,Itália,1737.6045969993006
Itália,Bielorrússia,1737.6045969993006
Bielorrússia,Kosovo,1334.799788381654
Kosovo,Bielorrússia,1334.799788381654
Bielorrússia,Letônia,404.57681393842813
Letônia,Bielorrússia,404.57681393842813
Bielorrússia,Lituânia,171.82969785824903
Lituânia,Bielorrússia,171.82969785824903
Bielorrússia,Liechtenstein,1474.0850603986244
Liechtenstein,Bielorrússia,1474.0850603986244
Bielorrússia,Luxemburgo,1543.0554324172556
Luxemburgo,Bielorrússia,1543.0554324172556
Bielorrússia,Macedônia do Norte,1398.811242003108
Macedônia do Norte,Bielorrússia,1398.811242003108
Bielorrússia,Moldávia,771.6622744345707
Moldávia,Bielorrússia,771.6622744345707
Bielorrússia,Montenegro,1413.936097226016
Montenegro,Bielorrússia,1413.936097226016
Bielorrússia,Noruega,1214.6234616061124
Noruega,Bielorrússia,1214.6234616061124
Bielorrússia,Países Baixos,1514.331655586233
Países Baixos,Bielorrússia,1514.331655586233
Bielorrússia,Polônia,475.03180088803003
Polônia,Bielorrússia,475.03180088803003
Bielorrússia,Portugal,3232.729149291833
Portugal,Bielorrússia,3232.729149291833
Bielorrússia,Inglaterra,1872.0450158496994
Inglaterra,Bielorrússia,1872.0450158496994
Bielorrússia,Romênia,1058.690777175474
Romênia,Bielorrússia,1058.690777175474
Bielorrússia,Rússia,675.7582665452023
Rússia,Bielorrússia,675.7582665452023
Bielorrússia,San Marino,1557.039581998881
San Marino,Bielorrússia,1557.039581998881
Bielorrússia,Sérvia,1132.4568353108893
Sérvia,Bielorrússia,1132.4568353108893
Bielorrússia,Suécia,836.0920741245297
Suécia,Bielorrússia,836.0920741245297
Bielorrússia,Suíça,1612.9919571209734
Suíça,Bielorrússia,1612.9919571209734
Bielorrússia,República Tcheca,992.0850972868749
República Tcheca,Bielorrússia,992.0850972868749
Bielorrússia,Ucrânia,433.5893070875859
Ucrânia,Bielorrússia,433.5893070875859
Bielorrússia,Vaticano,1738.394734821274
Vaticano,Bielorrússia,1738.394734821274
Bósnia-Herzegovina,Bulgária,417.6739885473555
Bulgária,Bósnia-Herzegovina,417.6739885473555
Bósnia-Herzegovina,Cazaquistão,3973.4350487135507
Cazaquistão,Bósnia-Herzegovina,3973.4350487135507
Bósnia-Herzegovina,Croácia,290.12200790297834
Croácia,Bósnia-Herzegovina,290.12200790297834
Bósnia-Herzegovina,Dinamarca,1378.5038743325044
Dinamarca,Bósnia-Herzegovina,1378.5038743325044
Bósnia-Herzegovina,Eslováquia,487.7980994731097
Eslováquia,Bósnia-Herzegovina,487.7980994731097
Bósnia-Herzegovina,Eslovênia,392.8652858931487
Eslovênia,Bósnia-Herzegovina,392.8652858931487
Bósnia-Herzegovina,Espanha,1857.3580322431535
Espanha,Bósnia-Herzegovina,1857.3580322431535
Bósnia-Herzegovina,Estônia,2126.7499908945324
Estônia,Bósnia-Herzegovina,2126.7499908945324
Bósnia-Herzegovina,Finlândia,1865.9685209841175
Finlândia,Bósnia-Herzegovina,1865.9685209841175
Bósnia-Herzegovina,França,1348.7953263312356
França,Bósnia-Herzegovina,1348.7953263312356
Bósnia-Herzegovina,Geórgia,2157.934394305292
Geórgia,Bósnia-Herzegovina,2157.934394305292
Bósnia-Herzegovina,Grécia,790.66455286015
Grécia,Bósnia-Herzegovina,790.66455286015
Bósnia-Herzegovina,Hungria,407.8503013561234
